GEOID20,STATEFP,COUNTYFP,DISTRICT,G18USSRFIS,G18USSDRAY,G18USSLSCH,G18GOVRRIC,G18GOVDKRI,G18SOSREVN,G18SOSDDAN,G18TRERMUR,G18ATGRPET,G18AUDRJAN,G18AUDDSKI
3115700003P,31,157,00003P,281.0108243130724,64.45462114904247,9.069941715237302,272.8534554537885,82.66444629475437,279.9758534554538,66.50707743547044,308.255620316403,299.15070774354706,269.88842631140716,68.45462114904247
3115700004P,31,157,00004P,188,63,7,178,77,193,61.99999999999999,215,208,184,63
3115700005P,31,157,00005P,366,59,18,360,79,367,64,276,385,354,75
3115700006P,31,157,00006P,167.02093075194176,35.002380565704755,6.003027889787686,161.0229183027218,43.00618310501613,164.02444958683628,36.005971460330784,183.02709095779386,181.02631862016625,159.02215752457462,35.008780769744874
3115700007P,31,157,00007P,151,46,2,151,48,152,44,176,175,148,44
3115700008P,31,157,00008P,263.2073640374922,61.65165885188408,13.367305772319066,251.03581667791872,85.61452895096149,267.1067070764311,68.30536199729276,288.3455296079786,288.03461060459927,246.36869213555664,81.32211274786367
3115700009P,31,157,00009P,574.4720004807984,201.1868262081662,32.32907029494815,562.4395043380251,240.01176128062335,592.913793879166,207.68913809697517,683.341418821189,669.5170073850028,551.3568639480293,230.7835031163912
3115700010P,31,157,00010P,450.19446533485245,172.2377333918881,18.05798375411905,432.13068320532153,208.3537009001262,439.20606208567625,187.27252364435952,520.2756425906191,508.281440966031,430.1074897036739,191.3363057738905
3115700011P,31,157,00011P,220,136,21,231,146,232,139,307,300,222,142
3115700012P,31,157,00012P,465.20442772437394,168.97401409716346,31.26261286532637,452.48301983938154,208.07495197174424,479.850653445865,176.8002474835257,550.1597918827574,545.2827548184655,461.2550361625163,185.61760739250616
3115700013P,31,157,00013P,112.98917568692757,25.545378850957537,3.9300582847626977,104.14654454621149,37.33555370524563,111.02414654454621,28.492922564529557,126.744379683597,120.84929225645296,106.11157368859284,25.545378850957537
3115700014P,31,157,00014P,189.97942990384774,36.99770035065828,9.996997541069266,186.9774400411716,49.99393480168429,191.97593881170624,42.99410945603224,213.97332518350171,210.97408827354496,183.97820313121488,45.99128165144946
3115700015P,31,157,00015P,148,72,11,135,89,135,90,173,170,119,98
3115700016P,31,157,00016P,155.9996393442105,34.99991908363697,10.999974569143047,154.99964165610658,50.99988209329958,167.99961160145745,34.99991908363697,179.9995838587044,175.99959310628876,155.9996393442105,26.99993757880566
3115700017P,31,157,00017P,180,85,17,177,109,184,94,229,225,174,97
3115700018P,31,157,00018P,199,51,11,198,61,191,62,217,213,180,71
3115700019P,31,157,00019P,248,73,19,249,90,242,92,287,281,230,92
3115700020P,31,157,00020P,41,7,4,43,9,42,5,42,40,42,4
3115700021P,31,157,00021P,507,181,30,502,209,519,165,579,572,484,193
3115700022P,31,157,00022P,379,233,24,370,268,401,229,490,484,384,229
3115700023P,31,157,00023P,133,138,15,125,154,132,149,181,179,115,169
3115700024P,31,157,00024P,67,118,11,68,130,66,130,123,118,64,133
3115700025P,31,157,00025P,303.0305882352941,152.16941176470587,17.36235294117647,301.1129411764706,170.41647058823528,322.0305882352941,143.49882352941177,383.8705882352941,378.77176470588233,298.0635294117647,158.46588235294118
3115700026P,31,157,00026P,242,139,16,236,161,246,151,322,321,238,154
3115700027P,31,157,00027P,289,151,29,287,180,300,161,379,377,282,157
3115700028P,31,157,00028P,331,159,22,329,174,343,156,399,398,317,176
3115700029P,31,157,00029P,180.89115418718882,69.78035568619225,21.620674372110884,185.79803476288254,84.52858630830939,180.89219527756754,89.43390524843504,231.00702886216175,225.11242152001913,182.8483886384591,87.47458861640732
3115700030P,31,157,00030P,373,112,14,351,148,380,109,425,423,479,124
3115900001P,31,159,00001P,175,114,11,188,106,173,94,215,214,159,95
3115900002P,31,159,00002P,123,46,17,142,45,128,44,143,139,120,47
3115900003P,31,159,00003P,368,191,34,387,201,384,179,458,464,371,171
3115900004P,31,159,00004P,329,119,23,337,134,327,114,385,385,320,114
3115900006P,31,159,00006P,186.51832642243602,73.38581509814387,9.058594373662867,189.4874759943253,79.5535377864145,185.114734580488,68.54340636532417,218.92790770872963,224.62596307801786,182.63211674170577,62.51537503592298
3115900007P,31,159,00007P,210,60,23,223,69,194,69,228,230,195,73
3115900008P,31,159,00008P,200,103,24,221,101,223,79,260,263,211,86
3115900009P,31,159,00009P,163,66,9,147,93,163,60,191,190,145,72
3115900010P,31,159,00010P,128,59,4,121,69,142,41,152,148,127,48
