GEOID20,STATEFP,COUNTYFP,DISTRICT,G20PRERTRU,G20PREDBID,G20PRELJOR,G20USSRSAS,G20USSDJAN,G20USSLSIA
31055008-47,31,055,008-47,777.8802744462042,721.5129099010425,19.051352033194654,869.1923368017717,406.77818081071894,82.16590656878272
31055008-48,31,055,008-48,1037.311561164953,422.56802207530797,19.961258899806335,1126.3315292898696,195.8164332628662,67.36027868765888
31055008-49,31,055,008-49,1202.3135382059802,869.482558139535,48.27242524916944,1322.7392026578073,497.1158637873754,97.95348837209302
31055008-50,31,055,008-50,828.038961038961,616.1266233766235,32.074675324675326,967.1168831168832,304.6525974025974,76.75
31055008-51,31,055,008-51,1074.095904859812,990.8304660014223,29.79265439555298,1239.4737763457845,531.5864065848361,97.7707372433928
31055008-52,31,055,008-52,409.73256726100874,485.572489566532,7.879472447327092,489.51222579019554,260.02259076179405,47.27683468396255
31055008-53,31,055,008-53,837.6285770511652,719.552304536158,18.296186958532907,984.9012264498616,374.1889377061194,77.94342772541182
31055008-55,31,055,008-55,1328.1000831305598,713.8174131424735,27.4831106603636,1521.1431043942484,330.37870093268214,68.40127806855516
31055008-56,31,055,008-56,720,564,33,773,337,94
31055008-57,31,055,008-57,956.7550956234222,623.921882917111,33.05654340699055,1066.8139309372991,366.4198281068469,76.3035403099829
31055008-58,31,055,008-58,738.5670943007492,451.8877191994558,13.20526019068608,822.242102044577,250.19668885607123,56.4602419537727
31055008-59,31,055,008-59,657.9542252895947,637.0759920278934,24.549462678906032,752.3514702760465,354.7822808810191,77.57532821170082
31055008-60,31,055,008-60,333.5562909946573,822.9488378806117,22.23718070279363,396.1862469783516,593.4099436866405,72.57383298085632
3105700001P,31,057,00001P,332,51,3,308,43,20
3105700002P,31,057,00002P,295,23,5,281,15,14
3105700003P,31,057,00003P,147,14,0,136,9,7
3105700004P,31,057,00004P,109,17,3,110,10,7
3105900001P,31,059,00001P,256,89,15,258,58,27
3105900002P,31,059,00002P,225,57,8,237,40,10
3105900003P,31,059,00003P,189,38,5,187,15,12
3105900004P,31,059,00004P,258.96923076923076,90.85384615384615,7.86923076923077,268.2692307692308,57.23076923076923,16.453846153846154
3105900005P,31,059,00005P,318,120,9,336,70,18
3105900006P,31,059,00006P,103.03076923076924,36.146153846153844,3.1307692307692307,106.73076923076923,22.76923076923077,6.546153846153846
3105900007P,31,059,00007P,245.99999999999997,82,16,259,53,13
3105900008P,31,059,00008P,289,94,7,289,59,24
3105900009P,31,059,00009P,170,28,2,171,24,6
3105900010P,31,059,00010P,304,58,9,306,36,23
3106100001P,31,061,00001P,363,74,4,351,54,24
3106100003P,31,061,00003P,281,52,0,263,34,11
3106100005P,31,061,00005P,500,93,1,488,60,26
3106100007P,31,061,00007P,293,57,6,296,42,10
3106300001P,31,063,00001P,189,30.999999999999996,4,179,20,14
3106300002P,31,063,00002P,392,56,8,387,33,22
3106300004P,31,063,00004P,313,62,4,297,45,21
3106300005P,31,063,00005P,99,5,4,94,5,3
3106300006P,31,063,00006P,236,35,2,226,26,13
3106500001P,31,065,00001P,320.18518518518516,60.75308641975309,4.9259259259259265,311.97530864197535,41.59670781893004,22.987654320987655
3106500001W,31,065,00001W,63.7962962962963,12.104938271604938,0.9814814814814815,62.160493827160494,8.2880658436214,4.580246913580247
3106500002P,31,065,00002P,150,24,3,132,14,20
3106500002W,31,065,00002W,85.46296296296296,16.21604938271605,1.3148148148148149,83.27160493827161,11.102880658436215,6.135802469135802
3106500003P,31,065,00003P,234.64663023679418,41.79234972677596,6.965391621129326,230.72859744990893,29.167577413479055,14.801457194899818
3106500003W,31,065,00003W,115.55555555555554,21.925925925925924,1.777777777777778,112.5925925925926,15.012345679012347,8.296296296296296
3106500004P,31,065,00004P,92,15,2,90,12,4
3106500004W,31,065,00004W,57.92531876138433,10.316939890710383,1.7194899817850637,56.95810564663024,7.2003642987249545,3.653916211293261
3106500005P,31,065,00005P,298,60,3,280,39,22
3106500005W,31,065,00005W,246.4280510018215,43.89071038251366,7.315118397085611,242.31329690346084,30.632058287795996,15.544626593806923
3106500006P,31,065,00006P,73,19,3,72,18,5
3106500007P,31,065,00007P,91,10,3,87,5,8
3106500008P,31,065,00008P,335,64,0,318,46,26
3106700001P,31,067,00001P,895,379,27,902,259,66
3106700004P,31,067,00004P,891,278,26,903,160,58
3106700007P,31,067,00007P,555.1061323010184,232.20616289771527,15.358489422371756,592.4863699466432,114.10140017300292,52.85267063815898
3106700008P,31,067,00008P,471,153,12,461,96,44
3106700011P,31,067,00011P,404,145,5,418,94,25
3106700015P,31,067,00015P,718,313,15,726,221,56
3106700016P,31,067,00016P,671.6318179661275,351.3072301673789,31.677976113595584,669.371405720765,248.13130268471096,90.15231182246704
3106700017P,31,067,00017P,977.9281079771404,531.3857290866881,39.02526609738132,1031.9921154238398,360.18696912062177,81.08758913758857
3106700021P,31,067,00021P,951,489,44,979,354,88
3106700026P,31,067,00026P,910.3425799746967,513.1037942887103,22.93849057164126,973.1591082108438,333.5822167640786,58.907872811765245
3106900001P,31,069,00001P,91,12,3,87,11,2
3106900002P,31,069,00002P,387,54,7,344,52,27
3106900003P,31,069,00003P,273,44,5,258,32,20
3106900004P,31,069,00004P,265,51,3,249,32,25
3107100003P,31,071,00003P,415.0445812401898,42.18718999759094,3.011891828722388,390.9747047360891,24.13506895250046,19.056128429831254
3107100004P,31,071,00004P,269.25994984845084,49.86295367563904,2.991777220538342,256.29558189278464,34.904067572947326,11.967108882153369
3107100005P,31,071,00005P,248.69546891135937,40.94985632677002,2.99633095073927,220.7297133711262,31.96086347455221,18.976762688015377
3107300001P,31,073,00001P,299,111,3,313,58,19
3107300002P,31,073,00002P,342,67,4,354,23,24
3107300003P,31,073,00003P,189,26,1,177,22,8
3107300004P,31,073,00004P,63,11,2,56,8,8
3107500002P,31,075,00002P,375,20,7,321,14,25
3107700001P,31,077,00001P,192,45,2,187,27,12
3107700002P,31,077,00002P,268,91,9,253,69,19
3107700003P,31,077,00003P,379,69,2,342,48,20
3107700004P,31,077,00004P,177,24,0,156,22,5
31079000001,31,079,000001,578.5061813186813,420.91311813186815,25.933035714285715,577.5087568681319,303.217032967033,69.81971153846155
31079000002,31,079,000002,239.6572802197802,212.47822802197803,5.029464285714286,233.65614697802198,140.34450549450548,30.079326923076923
31079000003,31,079,000003,574.7574054836024,381.96353497944864,27.05454461722473,560.796292500091,297.5703954744389,65.15975574166949
31079000005,31,079,000005,784,358,22,819,206,56
31079000006,31,079,000006,735,342,22,774,188,56
31079000007,31,079,000007,620,374,30,656,241,60
31079000008,31,079,000008,669.7739062567671,464.43603011051994,31.02642606730424,692.7984447478352,320.3048435621168,81.08682850685679
31079000009,31,079,000009,819.2260937432329,461.56396988948,27.973573932695757,845.2015552521647,322.6951564378832,91.91317149314321
31079000010,31,079,000010,687,419,30,673,333,68
31079000011,31,079,000011,665.604528705484,365.2772584483787,24.017548003061943,680.5703100995131,255.22461443919286,62.05176660903273
31079000012,31,079,000012,406,359,17,403,255,58
31079000013,31,079,000013,1154.5819884458754,454.8353287817085,29.989142557035727,1146.5848837639992,296.8925113146537,84.96923724493455
31079000014,31,079,000014,1263.4180115541246,434.1646712182915,17.010857442964276,1282.4151162360008,277.1074886853463,90.03076275506545
31079000015,31,079,000015,1135.5101669332068,469.8503785064519,25.451291556854766,1145.295514912429,299.53141655409206,86.14029542817234
31079000016,31,079,000016,850.98503453167325,358.99368671782685,26.999525184906197,867.9847355740216,234.9958673501095,72.99871624067231
31079000017,31,079,000017,555.3538520159557,280.58603042739503,17.106297988553816,563.0417400646749,169.48453602244152,47.30745976012967
31079000018,31,079,000018,391.7291765272648,179.68061383645082,11.371690647205039,369.58564431104685,145.51995567977104,33.54409413296397
3107900004P,31,079,00004P,543,305,22,544,208,70
