GEOID20,STATEFP,COUNTYFP,DISTRICT,G18GOVDSMI,G18GOVRMCM,G18GOVOWRI,G18SOSDWHI,G18SOSRHAM,G18SOSOWRI,G18TREDGLE,G18TREWGLE,G18TRERLOF,G18TREAWOR,G18TREOWRI,G18ATGDANA,G18ATGWANA,G18ATGRWIL,G18ATGOWRI,G18COMRECK,G18COMOWRI,G18SPIRMIT,G18SPIOWRI,G18AGRUNEL,G18AGRGEDM,G18AGRRWEA,G18AGROWRI
45019000324,45,019,000324,223,247.99999999999997,1,197,267,0,186,14,261,7,0,204,17,250,0,325,7,273,16,12,102,282,3
45019000325,45,019,000325,213,278,4,165.99999999999997,319,0,153,9,315,6,1,195,10,275,2,357,4,322,10,7,85,330.99999999999994,0
45019000326,45,019,000326,320,7,0,318.99999999999994,8,0,316,6,7,1,0,321,4,4,0,59,7,7,3,61,69.99999999999999,8,0
45019000327,45,019,000327,595.3587699316629,862.0728929384966,0.8257403189066059,502.875854214123,924.003416856492,0.8257403189066059,445.0740318906606,33.85535307517084,923.1776765375854,29.726651480637813,0,508.6560364464693,44.58997722095672,886.8451025056947,0,1091.6287015945331,16.514806378132118,936.3895216400911,36.33257403189066,57.80182232346242,238.6389521640091,971.0706150341686,0
45019000328,45,019,000328,343,439,3,283,485,1,251,26,466,23,1,304,25,433,0,558,18,495,21,24,150,502,1
45019000329,45,019,000329,67.47247888180401,129.39058981422508,0.0014462247161893076,62.39970376291211,126.50080305269248,0.0014462247161893076,53.33986280494321,0.04483296620186854,140.4280552198544,1.0408763136130246,0,58.43866996872651,6.013861927087858,130.40832653237908,0,155.58274668901774,1.0162904934378063,144.45127667683613,3.024285660138201,3.053210154461987,22.18918256383759,150.46513860392398,0.00578489886475723
45019000330,45,019,000330,661.2902220828262,902.7997638835242,0.9985537752838106,586.1649264621683,965.6271712238349,0.9985537752838106,501.2350568092047,31.736517516113246,981.8040991209816,33.323753911467364,0,594.4905904814343,38.76748855522725,919.9382972618332,0,1164.806320835098,16.139979603025214,1017.3017779855433,31.444524629250868,52.50949081016824,241.11371132683763,1056.121356572925,3.9942151011352425
45019000331,45,019,000331,325.7180884632736,408.23998438383967,0.012782051348373314,303.60678128268165,425.50558376019916,0,285.43168991843476,14.332610591123295,427.37143525758466,6.715819985400734,0,310.3140799005168,14.341131958688878,411.13036633124796,0.008521367565582208,522.0552873816805,2.9287281014534092,436.9648551390453,8.632799688179748,28.69930665250892,115.69393654657472,452.24530387210115,0
45019000332,45,019,000332,585.5192105720962,1042.5696619184112,2.987217948651627,512.8285884922379,1090.3664419632735,0,473.9933904674173,26.886038926561593,1083.3964104015793,18.91954978951888,0,529.7566596493224,28.87751755899601,1053.5230098745399,1.9914786324344178,1281.5556450942038,19.915001802083566,1110.2820901985751,23.898390022431187,61.73799238286085,235.00316956275003,1137.16820095105,0
45019000333,45,019,000333,809.0479233226837,1590.9009584664536,0.9712460063897763,709.9808306709265,1660.8306709265175,0,637.1373801916933,26.223642172523963,1667.629392971246,34.96485623003195,0,750.7731629392971,39.82108626198083,1588.9584664536742,0,1868.6773162939296,25.252396166134186,1722.0191693290735,34.96485623003195,67.01597444089457,306.91373801916933,1737.55910543131,3.8849840255591053
45019000334,45,019,000334,379,538,0,340,566,0,305,15,561,21,1,346,22,532,0,653,8,574,16,33,127,600,1
