GEOID20,STATEFP,COUNTYFP,DISTRICT,G16PRERTRU,G16PREDCLI,G16PRELJOH,G16PREGSTE,G16PREOFUE,G16PREOWRI,G16USSRAYO,G16USSDHAS,G16USSLCHA,G16USSIDAY,G16USSOWRI,G16GOVRSUN,G16GOVDVAN,G16GOVLABR,G16GOVOWRI
33013FRAN02,33,013,FRAN02,497.6257869417573,379.98542543443796,58.305776314288465,16.516994528364638,0.9714370838706198,25.265697513969446,478.1659555207552,423.73535061887225,22.35298882646015,41.785256144898185,3.8870303867645304,470.38836910620046,418.8816908405448,58.308340416852566,9.716614428449788
33013FRAN03,33,013,FRAN03,764.8566694504133,619.5846893475613,49.77033711966372,14.986287298070515,1.973683563461723,41.03011056448305,713.2506358091625,685.2924796138565,21.445240348752762,51.27702662655252,3.0488022853640255,718.6622505756101,649.0971004128985,75.5885353465299,10.021868336811439
33013HENN01,33,013,HENN01,1060.7421648898226,1430.1504291167291,134.07203477765367,38.020159759870666,2.0010359087075704,60.030778158485624,1151.8542459985997,1424.1335733640933,46.02241264387004,73.02440487888072,1.0015737586624736,1128.8065544068493,1396.1504867973583,128.05077875354735,5.003565993673144
33013HILL01,33,013,HILL01,291.8435969413881,157.68497589743382,15.853078615714862,4.577973238420026,0.15064562410329985,11.394384891819044,280.28078258257665,177.0463982733605,10.38516368762326,12.688043557039544,0.9331309490672718,249.2065930771391,179.22368343573802,39.92750849712864,1.073515280183561
33013HOOK01,33,013,HOOK01,4244.884094715764,3460.844379857487,294.1031146149734,53.56499319072495,4.064122601340186,162.40963126051037,4368.492210235135,3479.0064485174344,104.2111727683002,173.23705035262503,0.06740380768824411,4351.592948552523,3351.037552598108,292.0738946435284,0.2880652032203475
33013HOPK01,33,013,HOPK01,1426.9123753681667,2238.7775456680806,137.97937559742851,37.98675521189942,2.001074974996704,58.982640977037974,1648.7222317599544,2202.8597995181626,44.9999466367479,49.00751974400601,2.999234391222167,1556.7780185283968,2235.819819995296,97.00700673414936,6.999936940871476
33013LOUD01,33,013,LOUD01,1930.5788303234142,1127.6206460770493,144.75127870879828,11.921119762266585,2.9471446970857422,57.231847318660435,1871.4569292829303,1263.987209707337,42.599065816674745,92.13108116349679,2.9473558906416835,1773.7568078644738,1321.210365574802,118.08728305225522,12.894845323285885
33013NBRY01,33,013,NBRY01,664.1297487714893,622.9097965109344,61.17151009787933,5.086033424083914,4.756387825231058e-4,17.073908207113945,723.0251041963863,625.0889747941948,10.143275212728188,20.092511757577583,7.128184339857254e-4,713.9999058988155,589.0616079808984,39.21644878306708,0.03654355107945212
33013NFLD01,33,013,NFLD01,1328.619268745487,889.1481769221086,104.85040184517044,28.77635765185013,3.9201704555276082,51.63341564416574,1204.8788645477441,1027.71026154856,47.860573377389336,80.51334650703492,2.093813777519323,1147.6228244010852,1017.313597398793,132.36253686213368,11.960930640692737
33013NLON01,33,013,NLON01,1096.7290681385819,1799.9106034109957,94.63220278331714,23.905653440410738,1.037983662495259e-4,50.79895078613512,1285.9812338239885,1659.4735548341043,44.82280283058832,36.85622615527743,1.9920246383900178,1332.791649078228,1550.9030861945967,80.68481712031495,0
