GEOID20,STATEFP,COUNTYFP,DISTRICT,G20PREDBID,G20PRERTRU,G20PRELJOR,G20PREGHAW,G20PREAFUE,G20PREPLAR,G20PRESKEN,G20PREIWES,G20PREIPIE,G20PREOWRI,G20USSDSMI,G20USSRLEW,G20USSMOCO,G20USSCSTE,G20USSOWRI
27109000208,27,109,000208,445,315,12,4,4,0,0,0,2,4,406,276,60,22,0
27109000210,27,109,000210,767.734583798291,500.704837162284,7.086152777690851,1.9391651091319477,2.686340716344222,7.681300369817446e-4,0,3.6492695054669504,2.009798822210363,7.368999787419256,694.6498908927773,542.3543412125144,18.433757984644746,5.367544324310485,0.8939232436713508
27109000211,27,109,000211,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27109000212,27,109,000212,1.941148485869969,1.9295677779041362,4.7268195778909047e-4,1.4180458733672712e-4,4.7268195778909044e-5,0,0,2.8360917467345424e-4,9.453639155781809e-5,1.8907278311563618e-4,0.9905214215536842,0.9805478322443343,0.9505325279247271,0.9484054591146761,9.453639155781809e-5
27109000213,27,109,000213,41.3816323068648,37.954740296960274,0.6236676000190114,0.06500232928817759,0.049177646754366935,0,0,0.0856889489202347,0.07856619213965724,0.05768630048692482,39.574554405844644,32.388229455321415,2.2597553090143987,1.983461345155128,0.11230570040156415
27109000215,27,109,000215,123.38425331621737,324.4035087719298,7.143774069319641,1.059905862216517,0,0,0,0.01198117244330338,2.011981172443303,0.03594351732991014,118.56397090286693,302.05605477107406,19.239623448866066,5.083868207103124,0
27109000220,27,109,000220,283.5051975051975,486.65765765765764,5.237699237699237,0.06791406791406791,1.1018711018711018,0,0,1.135828135828136,2.0679140679140677,3.271656271656272,274.8225918225918,454.25363825363826,30.645183645183643,8.16978516978517,1.0339570339570339
27109000225,27,109,000225,1384.2890016747333,2042.8296941643098,46.84644692106112,12.991522412392374,9.915691855265457,0.9915691855265457,0.9915691855265457,3.986501342215639,6.961208898795276,11.959504026646917,1318.1572352460967,1845.9124820268796,226.48226630224153,53.68630821919966,0.9915691855265457
27109000230,27,109,000230,113.95807411142061,253.9065861780775,1.9992644580950985,0,0,0,0,0.9996322290475492,0.9996322290475492,0,117.95660302761081,225.9168837647461,14.994483435713239,7.997057832380394,0
27111000005,27,111,000005,28,96,2,0,0,0,0,0,0,0,29,92,3,0,0
27111000010,27,111,000010,133.53428969862898,199.56874017883825,4.041847200715196,1.0000116403330808,1.164033308073008e-5,0,0,2.1259279944967334e-4,1.0001121165662652,2.000046561332323,133.409200849513,193.2900904970177,13.19531062399059,1.0836404865295302,1
27111000015,27,111,000015,360.48567149135266,708.971529619323,7.225775084199652,0.04528231457880106,1.9998181460873277,0.9999090730436638,0,0.1358469437364032,3.9996362921746553,4.18076555048986,364.76439797562017,656.9799559733625,42.30576096526541,8.40681341555852,0
27111000020,27,111,000020,247.65704674528783,301.7769006923462,3.062796263975408,1.0224340859389556,1.0224340859389556,0.022839822661139365,0,1.0118168158242697,2.0281396254899984,0,226.6288995588143,268.2418244068571,36.43027723213156,15.138669443839072,0
27111000025,27,111,000025,28,119,1,0,0,0,0,0,1,0,34,103,5,1,0
27111000030,27,111,000030,13.99785118808133,108.9832699643475,0,0.9998465134343807,0,0,0,0,0,0,15.997544214950091,102.98419088374122,4.999232567171903,0,0
27111000035,27,111,000035,41.59216173568233,215.5286151860642,0.9452275664491742,1.534865656192978e-4,0.9452275664491742,0,0,0,0.9452275664491742,0,37.81155844301688,211.74678400087382,1.8912225657264448,4.726137832245871,0.9452275664491742
27111000040,27,111,000040,70.48671438419163,217.2248833330282,0.8174386962691639,1.5180889906802104,3.542308484192225e-4,0,0,0.9579515097509211,0.009891366745534973,1.596377701212449,79.16639586882683,196.8051353125063,10.231032199578781,1.9662425637938816,0
27111000045,27,111,000045,22.000040067257377,154.99315582156848,0.9999825753696411,1.9998441767034898,3.0243508948122512e-5,0,0,0.9999220883517449,0,0.9999220883517449,20.00031686458968,148.99307890829695,6.999787297060643,1.999904663721386,0
27111000050,27,111,000050,117.23027038735589,313.91411229386625,1.9867937538957754,0,0.9932220823644592,0,0,0.9935716715313162,0,3.4958916685708027e-4,124.18002825057225,292.0555355201773,10.934182635180477,1.989240878063775,0
27111000055,27,111,000055,22.602421419739287,84.45271034877776,0.13770066000321507,1.010734039033673,0,0,0,0.06885033000160753,0.013770066000321506,0.027540132000643012,27.628551482907007,75.06693261146795,5.384151779176082,1.0520442370346377,0
27111000060,27,111,000060,11.000000000000002,25,1,1,0,0,0,1,0,0,11.000000000000002,20,4,2,0
27111000065,27,111,000065,143.56710455860767,249.39919870318153,2.0800697392399212,1.002088441048532,0.9767908220009129,0.9767908220009129,0,0.025297619047619048,0.9767908220009129,0.050595238095238096,143.46591408241719,229.83808464411564,15.78043886630032,4.959846967147422,0
