GEOID20,STATEFP,COUNTYFP,DISTRICT,G16PRERTRU,G16PREDCLI,G16PRELJOH,G16PRECCOP,G16PREIMCM,G16PREISTE,G16PREICAS,G16PREIFUE,G16PREOWRI,G16USSRCRA,G16USSDSTU,G16USSCWRI
16065653414,16,065,653414,390.38814016172506,84.72029856935518,45.07153224134356,0.5274725274725275,261.8353721749948,3.7694381090607507,4.901513580758864,0.5660377358490566,0,625.6259589467136,78.23014721127929,45.90130624092888
16065653415,16,065,653415,754.425925925926,119.17806267806267,69.07692307692308,5.522792022792022,500.2108262108262,6.062678062678063,11.190883190883191,0.8304843304843305,0,1189.7749287749289,135.64245014245014,86.47578347578347
16065653416,16,065,653416,731.7898092696934,145.71670084914135,42.45532831517206,4.406479578866564,454.1682913538361,7.232894213461437,7.580047174904521,1.0130306603773587,0,1125.8342465091534,154.56158879056244,91.4313085672669
16065653417,16,065,653417,201.3164016277522,10.692884068430471,4.844705903956109,0.03857993022778576,42.99451505911819,0.038594347591047545,0.9226427014310769,3.2038585026193903e-6,0,223.50816438147538,16.537278797296384,23.72507702320346
16065653418,16,065,653418,473.90625,45.489583333333336,23.135416666666664,4.041666666666667,204.94791666666666,5.052083333333333,8.166666666666666,1,0,637.9479166666666,68.80208333333333,53.104166666666664
16065653419,16,065,653419,523.9658450264925,41.30061335436131,7.560732718476484,0.9646984773898183,113.60525663934106,1.1999245229245215,0.7137376908562468,0.23773293582166957,0,596.3111394620306,50.18658817026416,46.74604475322893
16067672701,16,067,672701,412.49810194126843,86.28355023457534,18.074785086042375,1.0201461039020476,35.285828590306906,4.051957038111225,9.047271758246996,2.026087500479962,0,446.2868510587714,75.41474693849965,38.46883160090497
16067672702,16,067,672702,629.4099950380584,109.47575788905799,19.284941486205366,1.01373550113391,65.54254229681524,4.016478472796767,5.0301378134847585,2.0623959218579357,0.9997503012086799,634.3821567177695,120.41937048771443,63.92263874270503
16067672703,16,067,672703,558.6719945063891,170.61196670840178,17.70938952429697,2.0322441622700946,48.36104903113572,9.000743111588996,3.0652658302004028,5.160613761407781,2.4969879132006304e-4,576.768885479347,143.3590701894249,68.12924062634502
16067672704,16,067,672704,523.7365791717364,107.23692067841966,21.064359185875695,0.9574841976826387,40.21375649112261,3.9088418980945366e-5,1.9149618806287805,4.787329782102238,0,526.6091229710953,99.57712527379653,63.193005895525616
16067672705,16,067,672705,523.9965862780756,134.99912051057294,20.999863190533567,2.9999804557905096,36.999758954749616,5.999960911581019,4.999967426317516,0.9999934852635032,0,546.9964364391362,122.9991986874109,51.99966123370216
16067672706,16,067,672706,453.520039984096,53.97853129444674,10.00288737601904,3.00018827617054,33.99535443024773,0,5.986817819637639,1.995605939879213,0,436.6003254820169,62.945199291199756,58.92912973481836
16067672708,16,067,672708,459,96,26,4,54,5,7,2,0,451,116,83
16067672709,16,067,672709,255.7594634515559,118.2543755743753,27.501017575436116,1.833401171695741,29.334418747131856,4.583502929239352,2.7501017575436117,3.666802343391482,0,297.92769040055794,102.6704656149615,39.41812519145844
16067672710,16,067,672710,399.72255653517067,102.18740535357988,17.034770161147296,0.006000254463078366,31.10037355427156,5.009669639271393,4.009237178825122,7.003672434146655,0,399.8289389083118,105.16514146919359,56.06644969849047
160676727A1,16,067,6727A1,447.01849217638693,145.6429587482219,18.475106685633,6.165007112375534,57.640113798008535,3.412517780938834,3.2475106685633004,2.330014224751067,0,507.81365576102417,123.24039829302987,42.54765291607397
160676727B1,16,067,6727B1,229.47996001590403,43.02146870555326,10.99711262398096,2.9998117238294606,31.00464556975227,0,0.01318218036236122,0.004394060120787073,0,248.3996745179831,37.054800708800244,26.070870265181643
16069696001,16,069,696001,231.99084099851936,177.99297283507087,25.998973560178893,0,6.999723650817394,12.999486780089446,3.999842086181368,1.999921043090684,0,265.98949873106096,172.99317022734417,26.998934081724233
16069696002,16,069,696002,336.4392281859213,150.27026100391774,25.177874917435375,6.9356273942348565,9.183463912574036,11.937092947732316,1.0535388489824786,0.06265597861104037,0,370.091399178581,152.94523449894763,32.93225889390727
16069696003,16,069,696003,350,263,58,3,28,14,3,2,0,451,248,24
16069696004,16,069,696004,311,213,40,4,11,9,5,0,0,371,195,30
16069696005,16,069,696005,303,131,44,2,5,10,1,0,0,339,143,22
16069696006,16,069,696006,406.20059274711576,244.05075238180038,34.012567256445806,4,15.008217052291489,8.001450068051438,4.001933424068586,3.0019334240685858,0,446.2300774641617,253.04156861747458,30.007250340257198
16069696007,16,069,696007,319.0040309159252,175.000917086692,31.000245267371113,4.2655194976094674e-5,16.00007464659121,9.000063982792463,4.000074646591208,2,1.000021327597488,384.0043295022901,171.0010237246794,9.000127965584928
16069696008,16,069,696008,524.7639767723952,279.34105166245064,38.90841408422088,3.9906192531338394,17.957715991197105,4.988238742464713,3.990548605228667,2.993017425779259,0,641.4886008558875,232.45198191717978,9.976707090621236
16069696009,16,069,696009,524,204,48,1,16,4,4,2,1,592,196,24
