GEOID20,STATEFP,COUNTYFP,DISTRICT,G16PRERTRU,G16PREDCLI,G16PRELJOH,G16PREOMCM,G16PREGSTE,G16PREIHED,G16PRECCAS,G16PREIKAH,G16USSRBOO,G16USSDELD,G16USSLGIL,G16USSOWRI
050470008-E,05,047,0008-E,15.747368421052633,8.336842105263157,0,0,0.9263157894736842,0,0,0.9263157894736842,18.526315789473685,7.410526315789474,0,0
050470008-F,05,047,0008-F,14,6,1,0,0,0,0,0,14,7,1,0
050470008-G,05,047,0008-G,3.0041172114054064,3.0020269348457385,1.9002514178799042e-4,6.334171392933014e-5,0,0,6.334171392933014e-5,0,1.004623945116841,5.001583542848233,1.9002514178799042e-4,0
050470009-A,05,047,0009-A,281.567641936354,80.14969213595488,9.781874309783149,5.8623786416531924,1.952520036689946,0.976260018344973,4.881300091724865,0,273.7768359159276,94.79841094271282,13.68691438316304,0
050470009-B,05,047,0009-B,167.81328751562515,74.05078274181551,12.610156548363102,3.1525391370907756,2,2,1,2,185.42344406398826,76.2033218789063,4.610156548363102,0
050470009-C,05,047,0009-C,79.05901753671066,19.513785741248633,3.6743973192880106,1.0073086734358874,0.047479963310054156,0.023739981655027078,0.14117753956029497,0,82.41848334263398,20.55493319929849,3.769357245908119,0
05049000002,05,049,000002,764.4821663165734,314.473219617403,28.968853403398832,7.0075837940748755,12.96716030995553,3.983999915696592,2.990737163049816,4.977262668343368,741.2648602319748,311.64671603099555,45.94191143926993,0
05049000003,05,049,000003,289.15934622025213,57.831869244050424,10.968113132492322,0.9971011938629383,4.9855059693146915,1.9942023877258765,0.9971011938629383,0,274.20282831230804,56.834768050187485,17.94782148953289,0
05049000004,05,049,000004,139.8399208337395,27.1680060165877,5.031860358717695,1.002898581295106,1.0144781617140466,1.0057913186228087,1.0028973345070438,8.311920413730546e-7,129.7964641426465,28.165120795599087,8.05213922058193,0
05049000005,05,049,000005,421,79,10,0,6,1,4,4,377,82,30.000000000000004,0
05049000006,05,049,000006,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
05049000008,05,049,000008,57,20,3,1,0,0,2,1,56,19,5,0
05049000009,05,049,000009,524.0466116595933,146.19218913391745,19.524002570307225,7.754574891788714,6.817112725902651,3.7976181555496837,0.9921758288266277,2.8609083463406066,471.72842452424004,157.2060918869135,43.35422861811339,0
05049000010,05,049,000010,278.27173936914977,101.1928995869819,8.31056585629821,2.1911334401527696,1.1279929989558755,2.1911334401527696,1.996575766875826,1.1279929989558755,284.9609912814734,83.02916001182251,22.39080182289376,0
05049000011,05,049,000011,255.167468719923,87.12897016361886,2.195380173243503,0.04716073147256977,3.087584215591915,0.026948989412897015,1.0202117420596728,3.0336862367661213,236.01251203079883,76.10875842155919,17.309913378248314,0
05049000015,05,049,000015,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
