GEOID20,STATEFP,COUNTYFP,DISTRICT,G18GOVDMIL,G18GOVRMOO,G18GOVIHAY,G18GOVOWRI,G18USSDRIN,G18USSRBRA,G18USSIKIN,G18USSOWRI
23031041750,23,031,041750,881,1118,137,0,213,841,1085,0
23031048750,23,031,048750,267.5244103126714,399.79484366428966,53.703784969829954,0,63.648930334613276,332.16785518376304,316.2556226001097,0
23031050325,23,031,050325,987,1148,137,0,270,964,1061,0
23031054980,23,031,054980,536.8426999702647,269.41183467142434,34.66696402022004,0,147.58221825750817,210.97323818019623,480.3850728516206,0
23031055085,23,031,055085,2558.8544639217284,1730.3288490284006,279.4319880418535,0.977034923223264,528.5758934637859,1318.9971463514064,2736.6748199483627,0
23031056870,23,031,056870,328.2456141958271,425.17561159225096,48.15914950864181,0,82.14773194923866,330.91409649418165,365.5906903447028,0
23031067475,23,031,067475,455.4755896873286,725.2051563357104,82.29621503017005,0,105.35106966538673,587.832144816237,574.7443773998903,0
23031070030,23,031,070030,1885,1238,190,1,616,1025,1666,0
23031080530,23,031,080530,1135,1740,211,0,259,1387,1469,0
23031081475,23,031,081475,2968.9199719511275,2532.721351408389,332.8572600408092,0,724.6620118515974,2057.738344482944,3061.0275462944896,0
23031087985,23,031,087985,4457.529159212881,2715.871914132379,435.4143112701252,0,1062.689266547406,2240.69373881932,4390.924686940966,0
23031646751,23,031,646751,680.1360948344593,541.7869318738225,76.43065646077139,0,114.16224635912688,408.2751522334877,782.6886212248615,0
23031646752,23,031,646752,645,600,68,0,119,456,739,0
23031646753,23,031,646753,647.1812086104682,495.2453949474077,65.6295804456847,0.9999636453431492,148.83315805365473,380.47968823396025,680.6513265759996,0
23031646754,23,031,646754,932.6462767529641,598.5709073821741,69.44715860074804,0,105.8402339846039,456.97117162329283,1025.537047490138,0
23031646755,23,031,646755,750.9118825879301,499.4717699135716,73.90048182709315,0,174.83869437464546,368.15194089915576,759.4618961787133,0
23031646756,23,031,646756,792.2368321278548,439.1712153509532,67.34336487058452,3.6354656850748405e-5,147.2648046935137,329.2049422983209,819.8012105478605,0
23031646757,23,031,646757,689.7655794159293,309.27021427822785,69.4510301036013,0,163.34530842286682,233.90605351452916,667.3248483756925,0
23031657251,23,031,657251,1136,1104,162,0,263,818,1249,0
23031657252,23,031,657252,1116,1059,176,0,307,835,1229,0
23031657253,23,031,657253,1143,1304,158,0,300,1005,1330,0
NA,NA,NA,NA,1661.2964387764844,866.5038646214695,122.22128286817322,0.30225080165245466,315.43813806961543,663.4741067617881,1675.7736088232648,0.03555091059138304
